,Book,Author,Description,Q1,Q2,Q3,Q4,Q5,Q6,sum,labels
0,In Search of Lost Time ,Marcel Proust,"Swann's Way, the first part of A la recherche de temps perdu, Marcel Proust's seven-part cycle, was published in 1913. In it, Proust introduces the themes that run through the entire work.
            ",1,3,2,2,3,2,13,0
1,Don Quixote,Miguel de Cervantes,"
 Alonso Quixano, a retired country gentleman in his fifties, lives in an unnamed section of La Mancha with his niece and a housekeeper. He has become obsessed with books of chivalry.
            ",2,1,2,2,8,1,16,1
2,Ulysses,James Joyce,"
Ulysses chronicles the passage of Leopold Bloom through Dublin during an ordinary day, June 16, 1904. The title parallels and alludes to Odysseus (Latinised into Ulysses), the hero of Homer's Odyssey.
            ",3,1,1,2,7,1,15,2
3,The Great Gatsby ,F. Scott Fitzgerald,"The novel chronicles an era that Fitzgerald himself dubbed the ""Jazz Age"". Following the shock and chaos of World War I, American society enjoyed unprecedented levels of prosperity during the ""roar
            ",1,2,2,2,6,1,14,3
4,Moby Dick,Herman Melville,"
First published in 1851, Melville's masterpiece is, in Elizabeth Hardwick's words, ""the greatest novel in American literature."" The saga of Captain Ahab and his monomaniacal pursuit of the white whale.
            ",1,3,1,2,6,2,15,4
5,Hamlet,William Shakespeare,"The Tragedy of Hamlet, Prince of Denmark, or more simply Hamlet, is a tragedy by William Shakespeare, believed to have been written between 1599 and 1601. The play, set in Denmark.
            ",3,2,2,3,6,2,18,5
6,War and Peace,Leo Tolstoy,"
              Epic in scale, War and Peace delineates in graphic detail events leading up to Napoleon's invasion of Russia, and the impact of the Napoleonic era on Tsarist society, as seen through the eyes of fi...
            ",1,3,3,1,8,2,18,6
7,The Odyssey,Homer,"The Odyssey is one of two major ancient Greek epic poems attributed to Homer. It is, in part, a sequel to the Iliad, the other work traditionally ascribed to Homer. The poem is fundamental to the m...
            ",3,1,1,2,7,2,16,7
8,One Hundred Years of Solitude ,Gabriel Garcia Marquez,"
One of the 20th century's enduring works, One Hundred Years of Solitude is a widely beloved and acclaimed novel known throughout the world, and the ultimate achievement in a Nobel Prize winning car.
            ",1,3,3,1,8,1,17,8
9,The Divine Comedy ,Dante Alighieri,"
Belonging in the immortal company of the great works of literature, Dante Alighieri's poetic masterpiece, The Divine Comedy, is a moving human drama.
            ",3,1,1,3,7,2,17,9
10,The Brothers Karamazov ,Fyodor Dostoyevsky,"
Dostoevsky's last and greatest novel, The Karamazov Brothers, is both a brilliantly told crime story and a passionate philosophical debate. The dissolute landowner Fyodor Pavlovich Karamazov is murdered.
            ",1,2,2,2,6,2,15,10
11,Madame Bovary,Gustave Flaubert,"
For daring to peer into the heart of an adulteress and enumerate its contents with profound dispassion, the author of Madame Bovary was tried for ""offenses against morality and religion.""
            ",1,3,2,2,3,1,12,11
12,The Adventures of Huckleberry Finn,Mark Twain,"Revered by all of the town's children and dreaded by all of its mothers, Huckleberry Finn is indisputably the most appealing child-hero in American literature.

            ",1,1,1,3,2,1,9,12
13,The Iliad,Homer,"
The Iliad is an epic poem in dactylic hexameters, traditionally attributed to Homer. Set in the Trojan War, the ten-year siege of Ilium by a coalition of Greek states, it tells of the battles and e...
            ",3,2,2,1,7,2,17,13
14,Lolita ,Vladimir Nabokov,"
The book is internationally famous for its innovative style and infamous for its controversial subject: the protagonist and unreliable narrator, middle aged Humbert.
            ",1,2,2,1,6,1,13,14
15,Crime and Punishment ,Fyodor Dostoyevsky,"
It is a murder story, told from a murder;s point of view, that implicates even the most innocent reader in its enormities. It is a cat-and-mouse game between a tormented young killer and a cheerful.
            ",1,2,2,1,5,2,13,15
16,Alice's Adventures in Wonderland ,Lewis Carroll,"
In 1862 Charles Lutwidge Dodgson, a shy Oxford mathematician with a stammer, created a story about a little girl tumbling down a rabbit hole. Thus began the immortal adventures of Alice.
            ",1,1,1,2,7,1,13,16
17,Wuthering Heights,Emily Brontë,"
The narrative is non-linear, involving several flashbacks, and two primary narrators: Mr. Lockwood and Ellen ""Nelly"" Dean. 
            ",1,3,2,1,8,1,16,17
18,Pride and Prejudice,Jane Austen,"
The book is narrated in free indirect speech following the main character Elizabeth Bennet as she deals with matters of upbringing, marriage, moral rightness and education in her aristocratic socie...
            ",1,3,1,3,3,1,12,18
19,The Catcher in the Rye,J. D. Salinger,"
The Catcher in the Rye is a 1945 novel by J. D. Salinger. Originally published for adults, the novel has become a common part of high school and college curricula throughout the English-speaking world.
            ",1,3,2,2,4,1,13,19
20,The Sound and the Fury,William Faulkner,"The Sound and the Fury is set in the fictional Yoknapatawpha County. The novel centers on the Compson family, former Southern aristocrats who are struggling to deal with the dissolution of their fate.
            ",1,2,2,1,6,1,13,20
21,To the Lighthouse ,Virginia Woolf,"
A landmark novel of high modernism, the text, centering on the Ramsay family and their visits to the Isle of Skye in Scotland between 1910 and 1920, skillfully manipulates temporality and psychology.
            ",1,1,2,1,4,1,10,21
22,Heart of Darkness,Joseph Conrad,"
The story details an incident when Marlow, an Englishman, took a foreign assignment from a Belgian trading company as a ferry-boat captain in Africa. 
            ",1,3,1,2,8,1,16,22
23,Anna Karenina,Leo Tolstoy,"Anna Karenina tells of the doomed love affair between the sensuous and rebellious Anna and the dashing officer, Count Vronsky. Tragedy unfolds as Anna rejects her passionless marriage and must endure.
            ",1,3,2,2,6,2,16,23
24,Nineteen Eighty Four,George Orwell,"
The story follows the life of one seemingly insignificant man, Winston Smith, a civil servant assigned the task of perpetuating the regime's propaganda by falsifying records and political literature.
            ",1,2,2,1,5,1,12,24
25,Great Expectations,Charles Dickens,"
Great Expectations is written in the genre of ""bildungsroman"" or the style of book that follows the story of a man or woman in their quest for maturity, usually starting from childhood and ending.
            ",1,1,1,2,3,2,10,25
26,Middlemarch,George Eliot,"
Middlemarch: A Study of Provincial Life is a novel by George Eliot, the pen name of Mary Anne Evans, later Marian Evans.
            ",1,2,1,1,3,2,10,26
27,Gulliver's Travels,Jonathan Swift,"
From the preeminent prose satirist in the English language, a great classic recounting the four remarkable journeys of ship's surgeon Lemuel Gulliver. For children it remains an enchanting fantasy.
            ",2,1,1,2,7,1,14,27
28,Catch-22 ,Joseph Heller,"
Catch-22 is a satirical, historical novel by the American author Joseph Heller, first published in 1961. The novel, set during the later stages of World War II from 1943 onwards, is frequently cited.
            ",1,3,2,3,8,2,19,28
29,One Thousand and One Nights,Original Author Unknown,"
One Thousand and One Nights is a collection of Middle Eastern and South Asian stories and folk tales compiled in Arabic during the Islamic Golden Age.
            ",3,1,3,2,7,2,18,29
30,The Grapes of Wrath ,John Steinbeck,"Set during the Great Depression, the novel focuses on a poor family of sharecroppers, the Joads, driven from their home by drought, economic hardship, and changes in the agriculture industry.
            ",1,1,2,2,8,1,15,30
31,The Stories of Anton Chekhov,Anton Chekhov,"
Anton Pavlovich Chekhov was a Russian short-story writer, playwright and physician, considered to be one of the greatest short-story writers in the history of world literature. 
            ",1,2,2,2,6,1,14,31
32,"Absalom, Absalom!",William Faulkner,"
Absalom, Absalom! is a Southern Gothic novel by the American author William Faulkner, first published in 1936. It is a story about three families of the American South, taking place before, during the great depression.
            ",1,3,2,1,2,1,10,32
33,Jane Eyre,Charlotte Bronte,"
Jane Eyre is a first-person narrative of the title character, a small, plain-faced, intelligent and honest English orphan. The novel goes through five distinct stages of her life.
            ",2,3,3,1,6,1,16,33
34,The Trial,Franz Kafka,"
Written in 1914, The Trial is one of the most important novels of the twentieth century: the terrifying tale of Josef K., a respectable bank officer who is suddenly and inexplicably arrested and mu...
            ",1,2,3,1,4,1,12,34
35,Invisible Man ,Ralph Ellison,"
The novel addresses many of the social and intellectual issues facing African-Americans in the early twentieth century, including black nationalism, the relationship between black identity and Marx.
            ",1,3,2,1,6,2,15,35
36,Mrs. Dalloway ,Virginia Woolf,"
Created from two short stories, ""Mrs Dalloway in Bond Street"" and the unfinished ""The Prime Minister"", the novel's story is of Clarissa's preparations for a party of which she is to be hostess.
            ",1,1,2,2,6,1,13,36
37,The Red and the Black,Stendhal,"
Le Rouge et le Noir (The Red and the Black), subtitled Chronique du XIX (""Chronicle of the 19th century""), is an historical psychological novel in two volumes by Stendhal, published in 1830
            ",1,3,3,2,8,2,19,37
38,The Aeneid,Virgil,"
The Aeneid is a Latin epic poem written by Virgil in the late 1st century BC (29BC) that tells the legendary story of Aeneas, a Trojan who traveled to Italy.
            ",3,2,2,1,7,2,17,38
39,David Copperfield,Charles Dickens,"
The story of the abandoned waif who learns to survive through challenging encounters with distress and misfortune.
            ",1,3,1,3,3,2,13,39
40,Beloved,Toni Morrison,"
Beloved (1987) is a Pulitzer Prize-winning novel by Nobel laureate Toni Morrison. The novel, her fifth, is loosely based on the life and legal case of the slave Margaret Garner.
            ",1,3,2,1,6,1,14,40
41,The Stranger ,Albert Camus,"
Since it was first published in English, in 1946, Albert Camus's extraordinary first novel, The Stranger (L'Etranger), has had a profound impact on millions of American readers. 
            ",1,2,2,1,6,1,13,41
42,Leaves of Grass,Walt Whitman,"
Leaves of Grass (1855) is a poetry collection by the American poet Walt Whitman. Among the poems in the collection are ""Song of Myself,"" ""I Sing the Body Electric,"" ""Out of the Cradle.
            ",1,1,1,2,3,1,9,42
43,To Kill a Mockingbird ,Harper Lee,"
              As a Southern Gothic novel and a Bildungsroman, the primary themes of To Kill a Mockingbird involve racial injustice and the destruction of innocence. Scholars have noted that Lee also addresses is...
            ",1,3,1,3,6,1,15,43
44,A Portrait of the Artist as a Young Man ,James Joyce,"
A Portrait of the Artist as a Young Man is a semi-autobiographical novel by James Joyce, first serialized in The Egoist from 1914 to 1915 and published in book form in 1916.
            ",1,3,2,1,6,1,14,44
45,The Sun Also Rises ,Ernest Hemingway,"
              The novel explores the lives and values of the so-called ""Lost Generation,"" chronicling the experiences of Jake Barnes and several acquaintances on their pilgrimage to Pamplona for the annual San F...
            ",1,2,2,2,6,1,14,45
46,Collected Fiction,Jorge Luis Borges,"
From his 1935 debut with The Universal History of Iniquity, through his immensely influential collections Ficciones and The Aleph, these enigmatic, elaborate, imaginative inventions display Borges'.
            ",1,3,3,2,7,1,17,46
47,Oedipus the King,Sophocles,"
              Oedipus the King is an Athenian tragedy by Sophocles that was first performed c. 429 BC. It was the second of Sophocles's three Theban plays to be produced, but it comes first in the internal chron...
            ",3,2,2,1,7,1,16,47
48,Candide,Voltaire,"
Candide, ou l'Optimisme is a French satire written in 1759 by Voltaire, a philosopher of the Age of Enlightenment.

Candide is characterized by its sarcastic tone and its erratic, fantastical.
            ",2,1,1,3,6,1,14,48
49,The Canterbury Tales,Geoffrey Chaucer,"
With their astonishing diversity of tone and subject matter, The Canterbury Tales have become one of the touchstones of medieval literature. Translated here into modern English
            ",3,3,2,2,8,1,19,49
50,The Complete Stories of Franz Kafka,Franz Kafka,"
              The Complete Stories of Franz Kafka is a compilation of all Kafka's short stories. With the exception of Kafka's three novels (The Trial, The Castle and Amerika), this collection includes all of Ka...
            ",1,2,2,2,5,2,14,50
51,As I Lay Dying,William Faulkner,"
The book is told in stream of consciousness writing style by 15 different narrators in 59 chapters. It is the story of the death of Addie Bundren and her family's quest
            ",1,2,2,1,6,1,13,51
52,Tristram Shandy,Laurence Sterne,"
As its title suggests, the book is ostensibly Tristram's narration of his life story. But it is one of the central jokes of the novel that he cannot explain anything simply.
            ",2,3,1,3,8,2,19,52
53,Midnight's Children ,Salman Rushdie,"
Midnight's Children is a loose allegory for events in India both before and, primarily, after the independence and partition of India, which took place at midnight on 15 August 1947. The protagonis...
            ",1,3,2,2,8,2,18,53
54,The Complete Tales and Poems of Edgar Allan Poe,Edgar Allan Poe,"
              Edgar Allan Poe (January 19, 1809 – October 7, 1849) was an American writer, poet, editor and literary critic, considered part of the American Romantic Movement. Best known for his tales of mystery...
            ",1,2,2,1,4,2,12,54
55,Les Miserables,Victor Hugo,"
a novel by French author Victor Hugo and is widely considered one of the greatest novels of the 19th century. It follows the lives and interactions of several French characters.
            ",1,1,1,2,3,2,10,55
56,A Passage to India ,E. M. Forster,"
A Passage to India is set against the backdrop of the British Raj and the Indian independence movement in the 1920s. The story revolves around four characters: Dr. Aziz.
            ",1,3,1,2,6,2,15,56
57,Paradise Lost,John Milton,"Paradise Lost is an epic poem in blank verse by the 17th-century English poet John Milton. It was originally published in 1667 in ten books. A second edition followed in 1674.
            ",2,2,2,1,7,1,15,57
58,Antigone,Sophocles,"
              Antigone is a tragedy by Sophocles written before or in 442 BC. Chronologically, it is the third of the three Theban plays but was written first.[1] The play expands on the Theban legend that preda...
            ",3,2,2,2,7,1,17,58
59,The Portrait of a Lady ,Henry James,"
The story centres on Isabel Archer, an attractive American whom circumstances have brought to Europe. Isabel refuses the offer of marriage to an English peer and to a bulldog-like New Englander.
            ",1,2,2,2,6,2,15,59
60,The Magic Mountain,Thomas Mann,"
The Magic Mountain is a novel by Thomas Mann, first published in November 1924. It is widely considered to be one of the most influential works of 20th century German literature.
            ",1,2,2,2,6,2,15,60
61,Emma,Jane Austen,"Before she began the novel, Austen wrote, ""I am going to take a heroine whom no-one but myself will much like.""[1] In the very first sentence she introduces the title character as ""Emma Woodhouse.
            ",1,1,1,3,3,2,11,61
62,Animal Farm,George Orwell,"
Animal Farm is a dystopian novella by George Orwell. Published in England on 17 August 1945, the book reflects events leading up to and during the Stalin era before World War II. 
            ",1,2,2,2,5,1,13,62
63,The Old Man and the Sea,Ernest Hemingway,"
The Old Man and the Sea is one of Hemingway's most enduring works. Told in language of great simplicity and power, it is the story of an old Cuban fisherman, down on his luck.
            ",1,1,1,1,6,1,11,63
64,Faust,Johann Wolfgang von Goethe,"Johann Wolfgang von Goethe's Faust is a tragic play, although more appropriately it should be defined a tragicomedy, despite the very title of the work.
            ",2,2,2,2,7,2,17,64
65,The Waste Land,T. S. Eliot,"
has continued to excited readers and to inspire young poets.
            ",1,2,2,2,7,1,15,65
66,The Idiot,Fyodor Dostoyevsky,"
The Idiot is a novel written by the Russian author Fyodor Dostoyevsky and first published in 1868. It was first published serially in Russian in Russky Vestnik, St. Petersburg, 1868-1869. The Idiot...
            ",1,2,2,2,6,2,15,66
67,The Lord of the Rings,J. R. R. Tolkien,"
The Lord of the Rings is an epic high fantasy novel written by philologist and Oxford University professor J. R. R. Tolkien. 
            ",1,1,1,2,7,2,14,67
68,The Metamorphosis,Franz Kafka,"
The Metamorphosis (German: Die Verwandlung) is a novella by Franz Kafka, first published in 1915. It is often cited as one of the seminal works of short fiction of the 20th century.
            ",1,2,2,2,7,1,15,68
69,Vanity Fair,William Makepeace Thackeray,"
No one is better equipped in the struggle for wealth and worldly success than the alluring and ruthless Becky Sharp, who defies her impoverished background to clamber up the class ladder. 
            ",1,3,1,3,8,2,18,69
70,Things Fall Apart ,Chinua Achebe,"
A novel of great power that turns the world upside down. The Nigerian novelist Achebe reached back to the early days of his people's encounter with colonialism, the 1890's.
            ",1,3,2,1,8,1,16,70
71,The Good Soldier,Ford Madox Ford,"
Ford Madox Ford wrote The Good Soldier, the book on which his reputation most surely rests, in deliberate emulation of the nineteenth-century French novels he so admired.
            ",1,2,2,1,6,1,13,71
72,A Farewell to Arms,Ernest Hemingway,"
The novel is told through the point of view of Lieutenant Frederic Henry, an American serving as an ambulance driver in the Italian army during World War I.
            ",1,3,2,2,8,1,17,72
73,Pale Fire ,Vladimir Nabokov,"
The novel is presented as a poem titled ""Pale Fire"" with commentary by a friend of the poet's. Together these elements form two story lines in which both authors are central characters. 
            ",1,2,2,2,6,1,14,73
74,Lord of the Flies ,William Golding,"
Lord of the Flies discusses how culture created by man fails, using as an example a group of British schoolboys stuck on a deserted island who try to govern themselves.
            ",1,2,2,1,5,1,12,74
75,Dead Souls,Nikolai Gogol,"
Dead Souls by Nikolai Gogol, Russian writer, was first published in 1842, and is one of the most prominent works of 19th-century Russian literature. Gogol himself saw it as an ""epic poem in prose"".
            ",1,1,1,2,6,2,13,75
76,Oresteia,Aeschylus,"
The Oresteia is a trilogy of Greek tragedies written by Aeschylus which concerns the end of the curse on the House of Atreus. When originally performed it was accompanied by Proteus.
            ",3,2,2,2,7,2,18,76
77,For Whom the Bell Tolls,Ernest Hemingway,"
It tells the story of Robert Jordan, a young American in the International Brigades attached to a communist guerilla unit during the Spanish Civil War. As an expert in the use of explosives.
            ",1,3,2,2,8,2,18,77
78,Frankenstein ,Mary Shelley,"
At this challenge, Mary Shelley began work on the 'ghost story' that was to evolve into the most celebrated horror novel in literary history. 
            ",1,2,2,1,1,1,8,78
79,Gargantua and Pantagruel,Francois Rabelais,"The Life of Gargantua and of Pantagruel (in French, La vie de Gargantua et de Pantagruel) is a connected series of five novels written in the 16th century.
            ",3,1,1,3,7,2,17,79
80,The Castle,Franz Kafka,"
The Castle is a novel by Franz Kafka. In it a protagonist, known only as K., struggles to gain access to the mysterious authorities of a castle who govern the village where he wants to work.
            ",1,2,2,2,5,1,13,80
81,Under the Volcano ,Malcolm Lowry,"
To describe his perennial theme, Lowry once borrowed the words of the critic Edmund Wilson: ""the forces in man which cause him to be terrified of himself.""
            ",1,2,2,2,6,2,15,81
82,The Flowers of Evil,Charles Baudelaire,"
Les Fleurs du mal (English: The Flowers of Evil) is a volume of French poetry by Charles Baudelaire. First published in 1857 .
            ",1,3,2,1,6,1,14,82
83,Brave New World,Aldous Huxley,"
Set in the London of AD 2540 (632 A.F. in the book), the novel anticipates developments in reproductive technology and sleep-learning that combine to change society.
            ",1,2,2,1,5,1,12,83
84,Journey to the End of The Night,Louis-Ferdinand Céline,"
Journey to the End of Night is the first novel of Louis-Ferdinand line. This semi-autobiographical work describes antihero Ferdinand Bardamu. His surname, Bardamu.
            ",1,2,2,2,8,2,17,84
85,Tom Jones,Henry Fielding,"
A foundling of mysterious parentage brought up by Mr. Allworthy on his country estate, Tom Jones is deeply in love with the seemingly unattainable Sophia Western.
            ",2,1,1,2,3,2,11,85
86,The Scarlet Letter,Nathaniel Hawthorne,"
Hester Prynne is a beautiful young woman. She is also an outcast. In the eyes of her neighbors she has committed an unforgivable sin.
            ",1,2,2,1,6,1,13,86
87,Fairy Tales and Stories,Hans Christian Anderson,"
a Danish author and poet noted for his children's stories. 
            ",1,1,1,2,7,2,14,87
88,Robinson Crusoe,Daniel Defoe,"Robinson Crusoe endures 28 years of solitude on a Caribbean island and manages not only to survive but also to prevail.
            ",2,3,1,1,8,1,16,88
89,Cousin Bette,Honor de Balzac,"
La Cousine Bette (English: Cousin Betty or Cousin Bette) is an 1846 novel by French author Honor de Balzac. Set in mid-19th century Paris, it tells the story of an unmarried middle-aged woman.
            ",2,3,1,1,6,2,15,89
90,A Sentimental Education,Gustave Flaubert,"The novel describes the life of a young man (Frederic Moreau) living through the revolution of 1848 and the founding of the Second French Empire.
            ",2,2,1,1,3,1,10,90
91,Gone With the Wind ,Margaret Mitchell,"
Gone With the Wind is set in Jonesboro and Atlanta, Georgia during the American Civil War and Reconstruction and follows the life of Scarlett O'Hara.
            ",1,1,1,2,3,1,9,91
92,Metamorphoses,Ovid,"
              The Metamorphoses by the Roman poet Ovid is a narrative poem in fifteen books that describes the creation and history of the world. Completed in 8 AD, it has remained one of the most popular works ...
            ",3,1,3,2,7,2,18,92
93,Oedipus at Colonus,Sophocles,"
Oedipus at Colonus is one of the three Theban plays of the Athenian tragedian Sophocles. It was written shortly before Sophocles' death in 406 BC and produced by his grandson (also called Sophocles.
            ",3,2,2,3,6,1,17,93
94,Waiting for Godot,Samuel Beckett,"
Waiting for Godot  is a play by Samuel Beckett, in which two characters, Vladimir and Estragon, wait for someone named Godot. Godot's absence, as well as numerous other aspects.
            ",1,2,2,3,6,1,15,94
95,Tess of the d'Urbervilles,Thomas Hardy,"
Violated by one man, forsaken by another, Tess Durbeyfield is the magnificent and spirited heroine of Thomas Hardys immortal work. Of all the great English novelists, no one writes more eloquently.
            ",1,2,3,1,8,2,17,95
96,Charlotte's Web,E. B. White,"
The novel tells the story of a pig named Wilbur and his friendship with a barn spider named Charlotte. When Wilbur is in danger of being slaughtered by the farmer, 
            ",1,1,1,2,3,1,9,96
97,The Possessed,Fyodor Dostoyevsky,"
The Possessed is an 1872 novel by Fyodor Dostoevsky. Though titled The Possessed in the initial English translation, Dostoevsky scholars and later translations favour the titles The Devils or Demon.
            ",1,2,2,1,5,2,13,97
98,Decameron,Giovanni Boccaccio,"
In the early summer of the year 1348, as a terrible plague ravages the city, ten charming young Florentines take refuge in country villas to tell each other stories a hundred stories of love, adv.
            ",2,3,3,1,8,2,19,98
99,Fathers and Sons,Ivan Turgenev,"
Fathers and Sons is an 1862 novel by Ivan Turgenev, his best known work.

The fathers and children of the novel refers to the growing divide between the two generations of Russians.
            ",1,3,1,2,6,1,14,99
